1              6989
2       e      3587
3       t      2968
4       a      2475
5       o      2419
6       i      2127
7       n      1953
8       s      1938
9       h      1675
10      r      1592
11      l      1407
12      c       985
13      m       911
14      u       874
15      d       857
16      f       644
17      y       612
18      w       605
19      p       531
20      g       525
21      b       420
22      ,       372
23      v       292
24      .       271
25      k       184
26      I       144
27      0        80
28      T        76
29      x        58
30      W        58
31      '        53
32      ;        50
33      ?       50
34      €        50
35      ?       50
36      ?        49
37      "        46
38      z        45
39      q        42
40      A        40
41      B        34
42      1        33
43      -        31
44      j        23
45      H        20
46      2        18
47      5        18
48      (        17
49      )        16
50      P        15
51      L        15
52      N        15
53      S        14
54      E        14
55      !        14
56      F        10
57      4        10
58      Y        10
59      O         9
60      /         9
61      :         9
62      R         8
63      C         8
64      M         8
65      U         5
66      D         5
67      V         4
68      6         3
69      3         3
70      9         2
71      J         2
72      $         2
73      K         1
74      8         1
75      G         1
